Ticker,MAE,MSE,RMSE,MAPE
IAI,1.5006948764580792,2.8987882345234075,1.7025828128239189,89.71374878110217
IVV,1.370915374080062,2.5098086514263858,1.5842375615501565,93.09370069332392
ESGU,1.4027495748597867,2.590715456513531,1.6095699601177735,91.70915818739438
PICK,1.5175346655646715,2.958888245748575,1.7201419260481312,90.76941506969351
QUAL,1.3522848836172194,2.4553554970299007,1.5669574011535543,92.74240670649348
SLV,1.335254037530823,2.4991811932775505,1.5808798794587622,93.5669951983548
IWB,1.388539201336259,2.4995240773904834,1.580988322977271,92.72329418370889
HEWJ,1.0773547929835354,1.5851959871295347,1.2590456652280466,85.292771232955
RING,1.1344504092527534,1.8780179760358304,1.3704079597097465,88.9223611764379
IAU,1.1413659857771485,1.7837124048099342,1.3355569642699388,94.81045890232723
IYY,1.3067016570843628,2.329417963144451,1.526243087828558,87.5869154183057
EWT,1.5924703180958635,3.2587420406198526,1.8051986152830533,92.4506305718062
ITOT,1.421527118690197,2.62573618550883,1.6204123504555346,94.76731957518035
IWV,1.3303010296827589,2.3855000360009275,1.5445064052961799,88.60785638634809
IAK,0.9799085333920817,1.2961738169713912,1.1384962964240997,87.23499287903628
ILCB,1.3736432527915177,2.517067847323596,1.5865269765508547,93.22422471336041
DIVB,1.349098516834977,2.3348936671387572,1.5280358854224456,95.03988581660397
ICVT,1.6125272341249464,3.595394677338497,1.896152598642445,93.9574537326214
DGRO,1.2994155423091072,2.211033464790282,1.4869544259291478,97.80605651158018
IFRA,1.1822637521301222,1.80664855324773,1.3441162722204245,90.24635866108994
