date,Open,High,Low,Close,Adj Close,Volume,Return,pred
2021-01-04,44.68999862670898,44.900001525878906,43.720001220703125,44.040000915527344,40.41768646240234,1398600,0.9324582117800728,0.9094391465187073
2021-01-05,43.459999084472656,44.02000045776367,43.2400016784668,43.7599983215332,40.16071319580078,423500,0.926529721483482,0.8851057291030884
2021-01-06,43.209999084472656,43.93999862670898,43.09999847412109,43.22999954223633,39.6743049621582,437400,0.915308066085774,0.9210551977157593
2021-01-07,42.88999938964844,43.11000061035156,42.34999847412109,42.7400016784668,39.22461318969727,1149500,0.9049333494116538,0.8405263423919678
2021-01-08,44.220001220703125,44.400001525878906,43.5099983215332,44.369998931884766,40.72054290771485,491500,0.9394452543283648,0.900326132774353
2021-01-11,42.90999984741211,43.29999923706055,42.86000061035156,43.0,39.463226318359375,376700,0.9104382895779288,0.89628666639328
2021-01-12,43.380001068115234,44.09000015258789,43.27999877929688,44.02000045776367,40.39932632446289,459900,0.932034742418279,0.8741060495376587
2021-01-13,44.119998931884766,44.43999862670898,43.93999862670898,44.08000183105469,40.45439529418945,348000,0.9333051505036604,0.8659827709197998
2021-01-14,44.400001525878906,44.97999954223633,44.25,44.4900016784668,40.83067321777344,463600,0.9419860704991276,0.9069644808769226
2021-01-15,44.38999938964844,44.400001525878906,43.810001373291016,43.93000030517578,40.31673431396485,253200,0.930129170674468,0.8812174201011658
2021-01-19,45.77000045776367,45.95000076293945,45.060001373291016,45.11000061035156,41.39967346191406,628900,0.9551132976406465,0.8864007592201233
2021-01-20,45.75,45.9900016784668,45.369998931884766,45.91999816894531,42.14304733276367,456200,0.972263362566423,0.8934141993522644
2021-01-21,46.09999847412109,46.310001373291016,45.52999877929688,46.02000045776367,42.23482894897461,682300,0.974380709375392,0.9047268629074097
2021-01-22,45.130001068115234,45.45000076293945,45.040000915527344,45.2400016784668,41.51899337768555,349900,0.957865808108045,0.8762356638908386
2021-01-25,45.29999923706055,45.45000076293945,44.58000183105469,45.119998931884766,41.40885162353516,541400,0.9553249919372824,0.9044067859649658
2021-01-26,45.18999862670898,45.33000183105469,44.869998931884766,45.13999938964844,41.427207946777344,248400,0.955748461299076,0.8869588971138
2021-01-27,44.290000915527344,44.630001068115234,43.869998931884766,43.869998931884766,40.26166534423828,1047600,0.9288587625890866,0.8981013894081116
2021-01-28,44.52999877929688,45.2599983215332,44.41999816894531,44.93999862670898,41.24365615844727,415200,0.95151384844966,0.9317337870597839
2021-01-29,44.650001525878906,44.7400016784668,43.560001373291016,43.93000030517578,40.31673431396485,462200,0.930129170674468,0.9255583882331848
2021-02-01,44.77999877929688,45.060001373291016,44.380001068115234,44.869998931884766,41.17941284179688,953500,0.9500317460676432,0.9111742973327637
2021-02-02,44.970001220703125,45.20000076293945,44.61000061035156,45.13999938964844,41.427207946777344,290800,0.955748461299076,0.9147962331771851
2021-02-03,45.34000015258789,45.61000061035156,45.060001373291016,45.380001068115234,41.64746475219727,313300,0.9608300128720794,0.9180917739868164
2021-02-04,45.72999954223633,46.18000030517578,45.369998931884766,46.13999938964844,42.34495544433594,394500,0.9769214447776324,0.9302309155464172
2021-02-05,46.84999847412109,47.54999923706055,46.68000030517578,47.5,43.59309768676758,352100,1.005716715231433,0.9005362391471863
2021-02-08,46.9900016784668,47.40999984741211,46.9900016784668,47.2599983215332,43.372833251953125,420800,1.0006351636584296,0.9050581455230713
2021-02-09,47.68999862670898,48.16999816894531,47.56999969482422,48.119998931884766,44.162105560302734,217700,1.0188439423729516,0.9095540642738342
2021-02-10,48.68000030517578,48.70000076293945,47.90999984741211,48.09999847412109,44.14374542236328,207500,1.0184204730111577,0.958167552947998
2021-02-11,48.650001525878906,48.84999847412109,48.34000015258789,48.65999984741211,44.65768432617188,393600,1.0302773728358174,0.935059666633606
2021-02-12,48.900001525878906,49.54999923706055,48.869998931884766,49.38999938964844,45.32764434814453,207100,1.0457336410829412,0.9289278984069824
2021-02-16,49.41999816894531,49.41999816894531,48.59000015258789,48.810001373291016,44.79534912109375,350400,1.0334533526650098,0.9348124265670776
2021-02-17,48.41999816894531,48.93000030517578,48.220001220703125,48.790000915527344,44.77699279785156,279500,1.033029883303216,0.9237295985221863
2021-02-18,48.81999969482422,48.90999984741211,48.02999877929688,48.86000061035156,44.84123611450195,956800,1.0345119856852332,0.9309778213500977
2021-02-19,48.709999084472656,49.27999877929688,48.540000915527344,48.86000061035156,44.84123611450195,342900,1.0345119856852332,0.9602596759796143
2021-02-22,48.290000915527344,49.130001068115234,48.209999084472656,48.45000076293945,44.46495819091797,242400,1.025831065689766,0.888477623462677
2021-02-23,47.959999084472656,48.93000030517578,47.34999847412109,48.72999954223633,44.721923828125,702000,1.0317594752178347,0.9382732510566711
