date,Open,High,Low,Close,Adj Close,Volume,Return
2019-10-01,160.1699981689453,160.67999267578125,157.97999572753906,158.05999755859375,152.77903747558594,1409000,1.0
2019-10-02,157.05999755859375,157.24000549316406,154.4600067138672,155.2899932861328,150.1016082763672,1978700,0.9824749821887472
2019-10-03,155.22999572753906,157.08999633789062,153.63999938964844,157.08999633789062,151.84146118164062,1819100,0.9938630821480081
2019-10-04,157.72999572753906,159.50999450683594,157.72999572753906,159.41000366210938,154.08392333984375,1158300,1.0085410991039347
2019-10-07,158.83999633789062,159.92999267578125,158.5800018310547,158.8000030517578,153.4943084716797,1044600,1.004681801243795
2019-10-08,157.72000122070312,158.25999450683594,156.2899932861328,156.2899932861328,151.0681610107422,1128800,0.9888016936618971
2019-10-09,157.7100067138672,158.58999633789062,157.27999877929688,158.0800018310547,152.7984161376953,1160500,1.0001265612600907
2019-10-10,158.0,159.4600067138672,157.77000427246094,159.0,153.68765258789062,818300,1.0059471242308338
2019-10-11,160.6699981689453,161.91000366210938,160.50999450683594,160.57000732421875,155.20518493652344,1127800,1.015880107581898
2019-10-14,160.42999267578125,161.25,160.00999450683594,160.60000610351562,155.23416137695312,440600,1.016069901203056
2019-10-15,161.36000061035156,162.72000122070312,160.61000061035156,162.33999633789062,156.91604614257812,746400,1.027078317382045
2019-10-16,161.8000030517578,162.08999633789062,161.19000244140625,161.82000732421875,156.41348266601562,1215700,1.0237884969233353
2019-10-17,162.67999267578125,162.89999389648438,161.94000244140625,162.36000061035156,156.9353790283203,906400,1.0272048786421357
2019-10-18,162.1300048828125,162.2899932861328,160.27999877929688,161.0800018310547,155.69815063476562,614800,1.0191066956795403
2019-10-21,161.83999633789062,162.1300048828125,161.22999572753906,162.02999877929688,156.6164093017578,496200,1.0251170522714415
2019-10-22,162.2899932861328,162.5399932861328,160.47999572753906,160.5500030517578,155.18588256835938,636200,1.0157535463218073
2019-10-23,160.41000366210938,161.05999755859375,160.24000549316406,160.89999389648438,155.524169921875,679700,1.0179678374146364
2019-10-24,161.75999450683594,162.22999572753906,161.27000427246094,162.16000366210938,156.74208068847656,821200,1.025939555655097
2019-10-25,161.36000061035156,163.0800018310547,161.27000427246094,162.77000427246094,157.3317108154297,625300,1.0297988535152365
2019-10-28,163.55999755859375,164.35000610351562,163.55999755859375,164.19000244140625,158.7042694091797,900200,1.0387827722225547
2019-10-29,163.97000122070312,164.4499969482422,163.5500030517578,163.61000061035156,158.14364624023438,914800,1.035113267983573
2019-10-30,163.8800048828125,164.69000244140625,163.0399932861328,164.5,159.00387573242188,1200100,1.0407440373331582
2019-10-31,164.8300018310547,165.0,163.4499969482422,164.13999938964844,158.6559295654297,2784700,1.038466417341306
2019-11-01,164.94000244140625,165.5800018310547,164.72000122070312,165.49000549316406,159.96083068847656,1585700,1.0470075164452408
2019-11-04,166.38999938964844,166.52000427246094,165.6300048828125,165.75999450683594,160.2218017578125,1069700,1.048715659035663
2019-11-05,166.11000061035156,166.22999572753906,164.9499969482422,165.27000427246094,159.74815368652344,814900,1.0456156321981114
2019-11-06,165.27999877929688,165.39999389648438,164.6199951171875,165.3300018310547,159.8061981201172,959300,1.0459952194404274
2019-11-07,166.10000610351562,166.74000549316406,165.55999755859375,165.86000061035156,160.3184814453125,920200,1.0493483687981604
2019-11-08,165.63999938964844,166.52000427246094,165.41000366210938,166.52000427246094,160.9564208984375,881200,1.0535240215395487
2019-11-11,165.82000732421875,166.57000732421875,165.6199951171875,166.49000549316406,160.92742919921875,637800,1.0533342279183906
2019-11-12,166.69000244140625,167.50999450683594,166.52999877929688,167.02999877929688,161.44937133789062,872900,1.056750609637191
2019-11-13,166.64999389648438,167.5,166.5,167.22999572753906,161.64266967773438,1139300,1.0580159326242298
2019-11-14,166.9600067138672,167.74000549316406,166.75,167.67999267578125,162.07762145996094,1185800,1.060862933479556
2019-11-15,168.64999389648438,169.1699981689453,168.05999755859375,169.10000610351562,163.4501953125,1199900,1.06984694872483
2019-11-18,169.0,169.61000061035156,168.74000549316406,169.38999938964844,163.7305145263672,1429900,1.071681652575343
2019-11-19,170.0,170.3300018310547,169.22999572753906,169.74000549316406,164.0688018798828,909400,1.073896040206128
2019-11-20,169.6300048828125,170.10000610351562,168.08999633789062,169.1699981689453,163.51788330078125,1836000,1.0702897683282135
2019-11-21,169.24000549316406,169.25,168.32000732421875,168.61000061035156,162.97659301757812,1569100,1.0667468253493226
2019-11-22,168.9600067138672,169.0500030517578,168.0399932861328,168.75999450683594,163.12155151367188,981500,1.0676957934551128
2019-11-25,169.42999267578125,170.52999877929688,169.00999450683594,170.5,164.80340576171875,932400,1.0787043061720576
2019-11-26,170.61000061035156,171.35000610351562,170.50999450683594,171.1199951171875,165.4027099609375,1281100,1.0826268363932647
2019-11-27,171.67999267578125,172.11000061035156,171.3699951171875,172.10000610351562,166.34996032714844,1848300,1.08882708314428
2019-11-29,171.74000549316406,171.97000122070312,171.32000732421875,171.42999267578125,165.7023162841797,592300,1.0845881015038683
2019-12-02,171.5800018310547,171.66000366210938,168.88999938964844,169.50999450683594,163.84649658203125,1532000,1.0724408270599752
2019-12-03,167.60000610351562,168.63999938964844,167.02000427246094,168.52000427246094,162.8896026611328,2005600,1.0661774444858485
2019-12-04,169.35000610351562,169.83999633789062,169.10000610351562,169.42999267578125,163.76914978027344,1119900,1.0719346785575685
2019-12-05,169.86000061035156,169.9199981689453,168.86000061035156,169.64999389648438,163.9818115234375,1382100,1.073326562804698
2019-12-06,170.91000366210938,171.2899932861328,170.6999969482422,171.0500030517578,165.33502197265625,1855200,1.0821840167898813
2019-12-09,170.88999938964844,171.32000732421875,170.39999389648438,170.42999267578125,164.73574829101562,1114500,1.0782613900307183
2019-12-10,170.63999938964844,170.91000366210938,169.94000244140625,170.25,164.561767578125,1528700,1.0771226283037703
2019-12-11,170.5800018310547,171.00999450683594,170.17999267578125,170.8699951171875,165.16107177734375,1133000,1.0810451585249772
2019-12-12,170.7899932861328,172.39999389648438,170.42999267578125,171.80999755859375,166.06968688964844,2121600,1.0869922827558112
2019-12-13,171.89999389648438,172.8300018310547,171.42999267578125,172.3800048828125,166.62062072753906,2444100,1.0905985546337253
2019-12-16,172.75999450683594,173.6699981689453,172.75,173.35000610351562,167.99676513671875,2276900,1.0967354724857172
2019-12-17,173.6999969482422,173.6999969482422,173.02000427246094,173.22000122070312,167.8707733154297,1285600,1.095912969102062
2019-12-18,173.58999633789062,173.8699951171875,173.27999877929688,173.39999389648438,168.04519653320312,969300,1.09705173082901
2019-12-19,173.6199951171875,174.50999450683594,173.39999389648438,174.4600067138672,169.07249450683594,1580200,1.1037581260824318
2019-12-20,175.44000244140625,175.49000549316406,174.88999938964844,175.2100067138672,169.79934692382812,1536100,1.1085031596872943
2019-12-23,175.6699981689453,175.8699951171875,175.5,175.58999633789062,170.16758728027344,1899600,1.1109072444012813
2019-12-24,175.83999633789062,175.83999633789062,175.3000030517578,175.57000732421875,170.14825439453125,937700,1.1107807796791465
2019-12-26,175.91000366210938,176.85000610351562,175.82000732421875,176.83999633789062,171.37901306152344,1485900,1.1188156337427186
2019-12-27,177.30999755859375,177.33999633789062,176.4499969482422,176.82000732421875,171.35963439941406,1835500,1.1186891690205838
2019-12-30,176.82000732421875,177.0399932861328,174.92999267578125,175.6199951171875,170.1966552734375,1416700,1.1110970380224392
2019-12-31,175.24000549316406,176.05999755859375,175.0,175.9199981689453,170.4873809814453,1325200,1.1129950707719753
2020-01-02,177.1699981689453,178.35000610351562,176.75,178.35000610351562,172.84234619140625,1676600,1.1283690298514668
2020-01-03,176.10000610351562,178.30999755859375,176.0,177.05999755859375,171.5922088623047,2040100,1.120207517989848
2020-01-06,175.86000061035156,178.25,175.66000366210938,178.19000244140625,172.6873016357422,2459700,1.1273567328466534
