Ticker,MAE,MSE,RMSE,MAPE
IAI,1.4960280960849262,2.9055684626024014,1.7045728094166002,89.36319864952641
IVV,1.3665959661399718,2.4855765185608965,1.5765711270224685,92.84454357828213
ESGU,1.4125663616326471,2.6765631521183937,1.6360205231348395,92.35054309882545
PICK,1.511611655940848,2.9185508167119303,1.7083766612524096,90.39216869178937
QUAL,1.346191445505651,2.411692975869124,1.5529626447114315,92.3144548518027
SLV,1.3186360557231696,2.4886349209994423,1.5775407826739194,92.44741269006784
IWB,1.3779988887620358,2.4971048494007775,1.580223037865471,92.04505706082028
HEWJ,1.0923935413573513,1.6368685622048387,1.2794016422550187,86.52497333967446
RING,1.1023406372302917,1.799788343333634,1.3415619043986133,86.28824907120452
IAU,1.1241668549161974,1.7591879550110805,1.326343829861277,93.35282827573758
IYY,1.3159643014482165,2.3422794163241094,1.530450723259037,88.17192248951406
EWT,1.5859972712045358,3.2362934660212517,1.7989701125981086,92.09235060372785
ITOT,1.4294076236141282,2.6374294931777413,1.6240164694909167,95.22712350487734
IWV,1.3151250037754918,2.359979791294431,1.536222572186215,87.61847885985961
IAK,0.9723252538209589,1.2699224429034848,1.126908356035878,86.58866552795035
ILCB,1.3609044028757538,2.4929722754135417,1.5789149044244093,92.44583246593938
DIVB,1.3453091864526838,2.314086778349695,1.521212272613423,94.81833937950644
ICVT,1.622831564054734,3.6014353803114485,1.897744814328694,94.5735245473832
DGRO,1.2970496206604318,2.2067215684678256,1.4855038096443327,97.615145957656
IFRA,1.1864661589146563,1.833041881195697,1.3538987706603833,90.53537592928195
